(0.000000, 0.000000)
(6.601000, 0.000000)
(13.202000, 0.000000)
(19.802999, 0.000000)
(26.403999, 0.000000)
(33.004997, 0.000000)
(39.605999, 0.000000)
(46.207001, 0.000000)
(52.807999, 0.000000)
(59.408997, 0.000000)
(66.009995, 0.000000)
(72.611000, 0.000000)
(79.211998, 0.000000)
(85.812996, 0.000000)
(92.414001, 0.000000)
(99.014999, 0.000000)
(105.615997, 0.000000)
(112.216995, 0.000000)
(118.817993, 0.000000)
(125.418999, 0.000000)
(132.019989, 0.000000)
(138.621002, 0.000000)
(145.222000, 0.000000)
(151.822998, 0.000000)
(158.423996, 0.000000)
(165.024994, 0.000000)
(171.625992, 0.000000)
(178.226990, 0.000000)
(184.828003, 0.000000)
(191.429001, 0.000000)
(198.029999, 0.000000)
(204.630997, 0.000000)
(211.231995, 0.000000)
(217.832993, 0.000000)
(224.433990, 0.000000)
(231.034988, 0.000000)
(237.635986, 0.000000)
(244.237000, 0.000000)
(250.837997, 0.000000)
(257.438995, 0.000000)
(264.039978, 0.000000)
(270.640991, 0.000000)
(277.242004, 0.000000)
(283.842987, 0.000000)
(290.444000, 0.000000)
(297.044983, 0.000000)
(303.645996, 0.000000)
(310.246979, 0.000000)
(316.847992, 0.000000)
(323.449005, 0.000000)
(330.049988, 0.000000)
(336.651001, 0.000000)
(343.251984, 0.000000)
(349.852997, 0.000000)
(356.453979, 0.000000)
(363.054993, 0.000000)
(369.656006, 0.000000)
(376.256989, 0.000000)
(382.858002, 0.000000)
(389.458984, 0.000000)
(396.059998, 0.000000)
(402.660980, 0.000000)
(409.261993, 0.000000)
(415.862976, 0.000000)
(422.463989, 0.000000)
(429.065002, 0.000000)
(435.665985, 0.000000)
(442.266998, 0.000000)
(448.867981, 0.000000)
(455.468994, 0.000000)
(462.069977, 0.000000)
(468.670990, 0.000000)
(475.271973, 0.000000)
(481.872986, 0.000000)
(488.473999, 0.000000)
(495.074982, 0.000000)
(501.675995, 0.000000)
(508.276978, 0.000000)
(514.877991, 0.000000)
(521.479004, 0.000000)
(528.079956, 0.000000)
(534.680969, 0.000000)
(541.281982, 0.000000)
(547.882996, 0.000000)
(554.484009, 0.000000)
(561.084961, 0.000000)
(567.685974, 0.000000)
(574.286987, 0.000000)
(580.888000, 0.000000)
(587.489014, 0.000000)
(594.089966, 0.000000)
(600.690979, 0.000000)
(607.291992, 0.000000)
(613.893005, 0.000000)
(620.493958, 0.000000)
(627.094971, 0.000000)
(633.695984, 0.000000)
(640.296997, 0.000000)
(646.898010, 0.000000)
(653.498962, 0.000000)
(660.099976, 0.000000)
